Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ercc_mix,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue,treatment
SRR1039508,RNA-Seq,126,2889875646,PRJNA229998,SAMN02422669,1665371739,N61311,airway smooth muscle cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",-,SRX384345,GSM1275862,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275862,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Untreated
SRR1039509,RNA-Seq,126,2665619082,PRJNA229998,SAMN02422675,1552090558,N61311,airway smooth muscle cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",-,SRX384346,GSM1275863,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275863,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Dexamethasone
SRR1039510,RNA-Seq,126,2879429994,PRJNA229998,SAMN02422668,1670535305,N61311,airway smooth muscle cells,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",-,SRX384347,GSM1275864,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275864,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Albuterol
SRR1039511,RNA-Seq,126,2764268262,PRJNA229998,SAMN02422667,1593382024,N61311,airway smooth muscle cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",-,SRX384348,GSM1275865,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275865,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Albuterol_Dexamethasone
SRR1039512,RNA-Seq,126,3545171532,PRJNA229998,SAMN02422678,2155576182,N052611,airway smooth muscle cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",-,SRX384349,GSM1275866,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275866,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Untreated
SRR1039513,RNA-Seq,87,3791311776,PRJNA229998,SAMN02422670,2381562126,N052611,airway smooth muscle cells,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",1,SRX384350,GSM1275867,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275867,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Dexamethasone
SRR1039514,RNA-Seq,126,5042737602,PRJNA229998,SAMN02422681,3252442652,N052611,airway smooth muscle cells,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",1,SRX384351,GSM1275868,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275868,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Albuterol
SRR1039515,RNA-Seq,114,3375651006,PRJNA229998,SAMN02422671,1992336517,N052611,airway smooth muscle cells,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",1,SRX384352,GSM1275869,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275869,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Albuterol_Dexamethasone
SRR1039516,RNA-Seq,120,3612545622,PRJNA229998,SAMN02422682,2251399587,N080611,airway smooth muscle cells,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",-,SRX384353,GSM1275870,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275870,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Untreated
SRR1039517,RNA-Seq,126,4321580760,PRJNA229998,SAMN02422673,2783416547,N080611,airway smooth muscle cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",-,SRX384354,GSM1275871,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,GSM1275871,airway smooth muscle cells,SRP033351,human airway smooth muscle cells,Dexamethasone
